Channel	AMBG	RampGain	InputVoltage	ADCvalue
Hrefy	0	15	0.42	462
Hrefy	0	0	0.43	362
Hrefy	0	1	0.43	369
Hrefy	0	2	0.43	377
Hrefy	0	3	0.43	383
Hrefy	0	4	0.43	394
Hrefy	0	5	0.43	400
Hrefy	0	6	0.43	407
Hrefy	0	7	0.43	413
Hrefy	0	8	0.43	424
Hrefy	0	9	0.43	431
Hrefy	0	10	0.43	438
Hrefy	0	11	0.43	444
Hrefy	0	12	0.43	454
Hrefy	0	13	0.43	460
Hrefy	0	14	0.43	467
Hrefy	0	15	0.43	472
Hrefy	0	0	0.44	370
Hrefy	0	1	0.44	377
Hrefy	0	2	0.44	385
Hrefy	0	3	0.44	392
Hrefy	0	4	0.44	403
Hrefy	0	5	0.44	409
Hrefy	0	6	0.44	416
Hrefy	0	7	0.44	422
Hrefy	0	8	0.44	433
Hrefy	0	9	0.44	441
Hrefy	0	10	0.44	448
Hrefy	0	11	0.44	454
Hrefy	0	12	0.44	464
Hrefy	0	13	0.44	471
Hrefy	0	14	0.44	477
Hrefy	0	15	0.44	483
Hrefy	0	0	0.45	378
Hrefy	0	1	0.45	386
Hrefy	0	2	0.45	394
Hrefy	0	3	0.45	400
Hrefy	0	4	0.45	411
Hrefy	0	5	0.45	418
Hrefy	0	6	0.45	425
Hrefy	0	7	0.45	431
Hrefy	0	8	0.45	443
Hrefy	0	9	0.45	450
Hrefy	0	10	0.45	458
Hrefy	0	11	0.45	464
Hrefy	0	12	0.45	475
Hrefy	0	13	0.45	481
Hrefy	0	14	0.45	488
Hrefy	0	15	0.45	494
Hrefy	0	0	0.46	386
Hrefy	0	1	0.46	394
Hrefy	0	2	0.46	402
Hrefy	0	3	0.46	409
Hrefy	0	4	0.46	420
Hrefy	0	5	0.46	427
Hrefy	0	6	0.46	434
Hrefy	0	7	0.46	440
Hrefy	0	8	0.46	452
Hrefy	0	9	0.46	460
Hrefy	0	10	0.46	468
Hrefy	0	11	0.46	474
Hrefy	0	12	0.46	485
Hrefy	0	13	0.46	491
Hrefy	0	14	0.46	498
Hrefy	0	15	0.46	504
Hrefy	0	0	0.47	394
Hrefy	0	1	0.47	402
